"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Check that test case is created","740","Check that a new test case can be created using API","TestRail RegressionTest","Wed Jan 22 19:28:34 GMT 2025","passed","Wed Jan 22 19:28:34 GMT 2025","tests.api.TestCaseTest","Thread#2","tests.api.TestCaseTest","checkCreateTestCase"
"Check that test case is deleted","680","Check that the test case can be deleted using API","TestRail RegressionTest","Wed Jan 22 19:28:34 GMT 2025","passed","Wed Jan 22 19:28:35 GMT 2025","tests.api.TestCaseTest","Thread#2","tests.api.TestCaseTest","checkDeleteTestCase"
"Check that test case is edited","1137","Check that test case can be edited using API","TestRail RegressionTest","Wed Jan 22 19:28:36 GMT 2025","passed","Wed Jan 22 19:28:37 GMT 2025","tests.api.TestCaseTest","Thread#2","tests.api.TestCaseTest","checkUpdateTestCase"
"Check that Test Case is deleted using DELETE button in Actions bar","4437","Check that Test Case can be deleted using DELETE button in Actions bar","TestRail RegressionTest","Wed Jan 22 19:28:48 GMT 2025","passed","Wed Jan 22 19:28:53 GMT 2025","tests.ui.TestCaseTest","Thread#2","tests.ui.TestCaseTest","checkDeleteTestCaseFromActions"
"Negative login check","1843","Check that user cannot login with invalid data","TestRail RegressionTest","Wed Jan 22 19:28:21 GMT 2025","passed","Wed Jan 22 19:28:22 GMT 2025","tests.ui.LoginTest","Thread#1","tests.ui.LoginTest","checkInvalidLogin"
"Check that project is deleted","664","Check that the project can be deleted using API","TestRail RegressionTest","Wed Jan 22 19:28:33 GMT 2025","passed","Wed Jan 22 19:28:34 GMT 2025","tests.api.ProjectTest","Thread#2","tests.api.ProjectTest","checkDeleteTestCase"
"Check that a new column can be added to the test cases table","5063","Check that new column can be added to the test cases table","TestRail RegressionTest","Wed Jan 22 19:28:33 GMT 2025","passed","Wed Jan 22 19:28:38 GMT 2025","tests.ui.TestCaseTest","Thread#2","tests.ui.TestCaseTest","checkAddNewColumnToTable"
"Check positive login","2185","Check positive login","TestRail RegressionTest","Wed Jan 22 19:28:28 GMT 2025","passed","Wed Jan 22 19:28:30 GMT 2025","tests.ui.LoginTest","Thread#1","tests.ui.LoginTest","checkValidLogin"
"Check that project is created","700","Check that a new project is created","TestRail RegressionTest","Wed Jan 22 19:28:32 GMT 2025","passed","Wed Jan 22 19:28:33 GMT 2025","tests.api.ProjectTest","Thread#2","tests.api.ProjectTest","checkCreateProject"
"Negative login check","2141","Check that user cannot login with invalid data","TestRail RegressionTest","Wed Jan 22 19:28:25 GMT 2025","passed","Wed Jan 22 19:28:27 GMT 2025","tests.ui.LoginTest","Thread#1","tests.ui.LoginTest","checkInvalidLogin"
"Check that Test Case can be assigned to someone","5193","Check that Test Case can be assigned to someone","TestRail RegressionTest","Wed Jan 22 19:28:38 GMT 2025","passed","Wed Jan 22 19:28:43 GMT 2025","tests.ui.TestCaseTest","Thread#2","tests.ui.TestCaseTest","checkAssignToValue"
"Check that project is deleted","3541","Check that the project can be deleted","TestRail RegressionTest","Wed Jan 22 19:28:29 GMT 2025","passed","Wed Jan 22 19:28:32 GMT 2025","tests.ui.ProjectTest","Thread#1","tests.ui.ProjectTest","checkDeleteProject"
"Check that deleted test case is displayed in the list after making Display Deleted Test Cases on","4445","Check that deleted test case is displayed","TestRail RegressionTest","Wed Jan 22 19:28:58 GMT 2025","passed","Wed Jan 22 19:29:02 GMT 2025","tests.ui.TestCaseTest","Thread#2","tests.ui.TestCaseTest","checkDisplayDeletedTestCase"
"Negative login check","1603","Check that user cannot login with invalid data","TestRail RegressionTest","Wed Jan 22 19:28:23 GMT 2025","passed","Wed Jan 22 19:28:25 GMT 2025","tests.ui.LoginTest","Thread#1","tests.ui.LoginTest","checkInvalidLogin"
"Check that test case is deleted","4276","Check that the test case can be deleted","TestRail RegressionTest","Wed Jan 22 19:28:53 GMT 2025","passed","Wed Jan 22 19:28:57 GMT 2025","tests.ui.TestCaseTest","Thread#2","tests.ui.TestCaseTest","checkDeleteTestCaseFromList"
"Check that test case is edited","5307","Check that test case can be edited","TestRail RegressionTest","Wed Jan 22 19:29:03 GMT 2025","passed","Wed Jan 22 19:29:08 GMT 2025","tests.ui.TestCaseTest","Thread#2","tests.ui.TestCaseTest","checkEditTestCase"
"Check that test case is created","4346","Check that a new test case can be created from sidebar","TestRail RegressionTest","Wed Jan 22 19:28:44 GMT 2025","passed","Wed Jan 22 19:28:48 GMT 2025","tests.ui.TestCaseTest","Thread#2","tests.ui.TestCaseTest","checkCreateTestCaseFromActionsBar"
"Check that project is created","7651","Check that a new project is created","TestRail RegressionTest","Wed Jan 22 19:28:21 GMT 2025","passed","Wed Jan 22 19:28:28 GMT 2025","tests.ui.ProjectTest","Thread#1","tests.ui.ProjectTest","checkCreateProject"
"Check that test case data can be taken form API","1048","Check that test case dat can be taken from API","TestRail RegressionTest","Wed Jan 22 19:28:35 GMT 2025","passed","Wed Jan 22 19:28:36 GMT 2025","tests.api.TestCaseTest","Thread#2","tests.api.TestCaseTest","checkGetTestCase"
